player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
47893,J.J.,Russell,LB,51,,,UFA,head,OUT,2025-09-15T12:40:02.401Z
79841,Nick,Saldiveri,OT,64,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
30967,Cameron,Sample,DE,96,57,CIN,ROSTER,achilles,QUESTIONABLE,2025-09-15T12:40:02.401Z
12811,Curtis,Samuel,WR,1,48,BUF,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
79805,Drew,Sanders,LB,41,,,UFA,foot,OUT,2025-09-15T12:40:02.401Z
14708,Jason,Sanders,K,7,49,MIA,ROSTER,hip,OUT,2025-09-15T12:40:02.401Z
166665,Shedeur,Sanders,QB,12,58,CLE,ROSTER,oblique,QUESTIONABLE,2025-09-15T12:40:02.401Z
112035,Zavier,Scott,RB,36,63,MIN,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
166720,Nic,Scourton,LB,11,69,CAR,ROSTER,chest,QUESTIONABLE,2025-09-15T12:40:02.401Z
168246,Valentin,Senn,DT,69,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
9984,Isaac,Seumalo,G,73,59,PIT,ROSTER,undisclosed,PROBABLE,2025-09-15T12:40:02.401Z
111934,Tyrell,Shavers,WR,14,48,BUF,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
133962,Will,Shipley,RB,28,54,PHI,ROSTER,ribs,QUESTIONABLE,2025-09-15T12:40:02.401Z
166781,Cody,Simon,LB,50,76,ARI,ROSTER,concussion,QUESTIONABLE,2025-09-15T12:40:02.401Z
23001,John,Simpson,G,76,51,NYJ,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
30441,Rashawn,Slater,T,70,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
16600,Darius,Slayton,WR,18,53,NYG,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
79789,Cam,Smith,LB,24,,,UFA,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
7544,Harrison,Smith,FS,22,63,MIN,ROSTER,personal,QUESTIONABLE,2025-09-15T12:40:02.401Z
108851,Terell,Smith,CB,32,60,CHI,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
79764,Mazi,Smith,DT,58,52,DAL,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
133882,Maason,Smith,DT,94,66,JAX,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
15193,Braden,Smith,T,72,65,IND,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
16360,Irv,Smith Jr.,LB,83,64,HOU,ROSTER,hand,OUT,2025-09-15T12:40:02.401Z
166788,Barryn,Sorrell,DE,99,62,GB,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
108838,Colby,Sorsdal,G,75,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
79819,Tyjae,Spears,RB,2,67,TEN,ROSTER,ankle,OUT,2025-09-15T12:40:02.401Z
14689,Equanimeous,St. Brown,WR,7,,,ROSTER,foot,OUT,2025-09-15T12:40:02.401Z
133958,Cade,Stover,TE,87,64,HOU,INJURY_LIST,foot,OUT,2025-09-15T12:40:02.401Z
133872,T'Vondre,Sweat,DT,93,67,TEN,ROSTER,ankle,OUT,2025-09-15T12:40:02.401Z
133965,T.J.,Tampa,CB,27,56,BAL,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
16405,Jahlani,Tavai,OLB,48,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
13480,Trent,Taylor,WR,81,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
166711,Mason,Taylor,TE,85,51,NYJ,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
16720,Jawaan,Taylor,LB,74,73,KC,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
6205,Tyrod,Taylor,QB,2,51,NYJ,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
20457,Patrick,Taylor Jr.,RB,32,,,UFA,shoulder,OUT,2025-09-15T12:40:02.401Z
18660,Andrew,Thomas,OT,78,53,NYG,ROSTER,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
22925,Daniel,Thomas,FS,2,61,DET,ROSTER,hand,QUESTIONABLE,2025-09-15T12:40:02.401Z
39156,Keir,Thomas,LB,96,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
166743,Azareye'h,Thomas,CB,23,51,NYJ,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
112191,Starling,Thomas V,CB,24,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
6356,Shaq,Thompson,OLB,45,48,BUF,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
44961,Skylar,Thompson,LB,17,59,PIT,ROSTER,hamstring,OUT,2025-09-15T12:40:02.401Z
39292,Zach,Tom,OT,50,62,GB,ROSTER,hip,QUESTIONABLE,2025-09-15T12:40:02.401Z
